Epoch,Train_MSE,Val_MSE,Test_MSE
1,0.0026237303800860676,0.002412702008558625,0.0024051827537529343
2,0.0021312259469065285,0.002002036441498745,0.0019339179690018896
3,0.0020589815173908924,0.0020035645979680572,0.0019222118443710779
4,0.0019995394055226747,0.0018413274023720875,0.0017455176857533513
5,0.0019058852234270086,0.0017288392763360142,0.001681059240403103
6,0.0017913927432322734,0.0016630540243487899,0.0016300899059535023
7,0.0016955665940929065,0.001524783399042447,0.0015051699030874815
8,0.0016454590134642696,0.001631392084823403,0.0016556760703435992
9,0.001564016722196076,0.001487581195408648,0.0015009605169226492
10,0.001532315672888635,0.0014781309088650711,0.001467482564970064
11,0.0014794359760588204,0.0012921034946119796,0.001305589115861848
12,0.0014658788041184254,0.00131538401802703,0.0013314127754104836
13,0.0014213269013120403,0.0013365784949131965,0.0013631849704100539
14,0.001361405688192982,0.0011963645279610266,0.0012110323178245396
15,0.001330796257423512,0.0014026236809360037,0.0014339647071151618
16,0.001261801377940572,0.0012040750583155856,0.0012336784123766098
17,0.001252768384694708,0.0011204450545294871,0.0011669292894804703
18,0.0012356156159361623,0.0010943652827155232,0.001129061168666555
19,0.0011730561072473935,0.001140707840118745,0.0011962995742554477
20,0.0012256169098487633,0.0010290374052480656,0.0010757767198228203
